ERBB2IP	ARVCF
ERBB2IP	SMAD7
ERBB2IP	SMAD3
ERBB2IP	PKP4
ERBB2IP	LRRC1
ERBB2IP	CTNND2
ERBB2IP	SMAD1
ERBB2IP	SMAD2
ERBB2IP	SMAD4
ERBB2IP	NOD2
ERBB2IP	RAF1
ERBB2IP	SHOC2
ERBB2IP	ITGB4
ERBB2IP	ZFYVE9
SMURF2	ARHGAP5
SMURF2	TXNIP
SMURF2	DAB2
SMURF2	DGCR2
SMURF2	FAM175B
SMURF2	ACBD3
SMURF2	SF3A2
SMURF2	ACOX3
SMURF2	RNF111
SMURF2	TMEM139
SMURF2	LAPTM5
SMURF2	SNRNP70
SMURF2	SKIL
SMURF2	TGFBR1
SMURF2	RPS27A
SMURF2	RUNX3
SMURF2	SMAD2
SMURF2	SMAD1
SMURF2	SMAD7
SMURF2	SMAD3
SMURF2	RNF11
SMURF2	ANAPC5
SMURF2	ASH2L
SMURF2	EPHA1
SMURF2	FKBP4
SMURF2	GNG2
SMURF2	-
SMURF2	ING2
SMURF2	IRF3
SMURF2	IRF8
SMURF2	NEK6
SMURF2	NKIRAS1
SMURF2	NRAS
SMURF2	PPID
SMURF2	RAB13
SMURF2	RAB14
SMURF2	RAB17
SMURF2	RAB22A
SMURF2	RAB25
SMURF2	RAN
SMURF2	RASD2
SMURF2	RASL12
SMURF2	RHOD
SMURF2	RNF2
SMURF2	RRAS2
SMURF2	SFRS4
SMURF2	SMAD6
SMURF2	SMAP1
SMURF2	SOCS6
SMURF2	TSSK4
SMURF2	RAP1B
SMURF2	TRAF2
SMURF2	PRICKLE1
SMURF2	PRICKLE2
SMURF2	TRAF4
SMURF2	DAZAP2
SMURF2	FLNB
SMURF2	TNPO3
SMURF2	SMAD5
SMURF2	ZBTB44
SMURF2	SPG20
SMURF2	TFPI2
SMURF2	CANX
SMURF2	CUEDC1
ARHGAP5	RND3
ARHGAP5	PTK2B
ARHGAP5	RHOA
ARHGAP5	ITGA5
ARHGAP5	ITGB1
ARHGAP5	RASA1
NF2	SPTBN1
NF2	SDCBP
NF2	PXN
NF2	XPO1
NF2	HGS
NF2	SLC9A3R1
NF2	TSC1
NF2	SGSM3
NF2	SCHIP1
NF2	CTNNB1
NF2	TARBP2
NF2	EZR
NF2	RALGDS
NF2	VPRBP
NF2	ITGB1
CD82	LRP1
CD82	CD4
CD82	ERBB3
CD82	ITGB2
CD82	PTGFRN
CD82	CANX
CD82	IGSF8
CD82	VANGL1
CD82	ITGB1
CD82	ITGA4
CD82	ITGA6
CD82	ITGA3
CD82	NUP88
CD82	HBEGF
CD82	EGFR
CD82	HLA-DMA
CD82	HLA-DMB
CD82	HLA-DRA
CD82	CD63
CD82	CD19
ERRFI1	CDC42
ERRFI1	EGFR
MMP7	SPP1
MMP7	PLG
MMP7	SERPINA1
MMP7	BCAN
MMP7	NGF
MMP7	HAPLN1
MMP7	TNFSF11
MMP7	MMP1
MMP7	MMP9
MMP7	CD151
MMP7	TFPI
MMP7	DCN
MMP7	HBEGF
MMP7	FASLG
MMP7	MBP
TOB1	MAPK1
TOB1	SMAD4
TOB1	SMAD2
TOB1	SMAD1
TOB1	SMAD3
TOB1	SMAD5
TOB1	SMAD9
TOB1	CNOT7
TOB1	MARCKS
TOB1	SMAD6
TOB1	SETDB1
TOB1	SCMH1
MUC4	GALNT11
PICK1	AQP1
PICK1	EFNB1
PICK1	FXN
PICK1	GFI1
PICK1	PRLHR
PICK1	GRM3
PICK1	BTG2
PICK1	ACCN1
PICK1	ATXN3
PICK1	ACCN2
PICK1	PRKCG
PICK1	GRM7
PICK1	LRP2BP
PICK1	ARF1
PICK1	ARF3
PICK1	ATXN7
PICK1	EFNB2
PICK1	EPHB2
PICK1	PRKCA
PICK1	USP7
PICK1	GRIA2
PICK1	GRIA3
PICK1	SLC6A3
PICK1	GRIA4
PICK1	COIL
PICK1	GRIP1
PICK1	CTNNB1
PICK1	MLLT4
PICK1	F11R
PICK1	JAM3
PICK1	PVRL2
PICK1	PVRL4
PICK1	GFI1B
PICK1	CIC
PICK1	SACS
PICK1	APTX
PICK1	UBQLN4
PICK1	ATXN7L3
PICK1	GRIK2
PICK1	GRIK1
PICK1	GRIA1
TXNIP	TXN
TXNIP	TXNRD1
TXNIP	HDAC1
TXNIP	SCEL
TXNIP	ZBTB16
TXNIP	ZBTB32
TXNIP	KPNA2
DDX20	ETV3
DDX20	SNRPB
DDX20	SMN1
DDX20	NCOR2
DDX20	NCOR1
DDX20	SNRPD2
DDX20	SNRPD3
DDX20	SNRPD1
DDX20	STXBP2
DDX20	SIP1
DDX20	SNRPF
DDX20	SNRPG
DDX20	HDAC2
DDX20	GEMIN5
DDX20	EIF2C2
DDX20	GEMIN4
DDX20	SMN2
DDX20	HDAC5
DDX20	SIN3A
DDX20	STXBP3
DDX20	DHX9
DDX20	NR0B2
DDX20	SNRPE
DDX20	BAT2
TLE1	FOXG1
TLE1	KDM6A
TLE1	MORF4L2
TLE1	UTY
TLE1	RUNX3
TLE1	FOXA2
TLE1	IL6ST
TLE1	TLE2
TLE1	PRDM1
TLE1	SIX3
TLE1	HES6
TLE1	CDK1
TLE1	HHEX
TLE1	GSTM4
TLE1	PEX2
TLE1	RPA2
TLE1	TK1
TLE1	SAT1
TLE1	HSPE1
TLE1	ARL4D
TLE1	SERPINB9
TLE1	PAFAH1B3
TLE1	CDKN2C
TLE1	SNRPG
TLE1	CCL18
TLE1	EIF2S2
TLE1	PSMD11
TLE1	ARL3
TLE1	ATN1
TLE1	HLA-DQA1
TLE1	PCDHA4
TLE1	ERH
TLE1	FXYD6
TLE1	FUBP1
TLE1	RNF10
TLE1	BTBD2
TLE1	ZFP64
TLE1	POLE2
TLE1	MPHOSPH6
TLE1	CRCT1
TLE1	TNRC4
TLE1	MSX1
TLE1	PFN1
TLE1	DAZAP2
TLE1	DLEU1
TLE1	POLB
TLE1	HES1
TLE1	SIX2
TLE1	SIX6
TLE1	SIX1
TLE1	HNF1A
TLE1	RUNX1
TLE1	LEF1
TLE1	HMGB1
FOXG1	TLE3
FOXG1	HDAC1
FOXG1	SMAD1
FOXG1	KDM5B
FOXG1	SMAD3
FOXG1	SMAD4
FOXG1	SMAD2
FOXG1	FOXH1
FOXG1	FOXO1
FOXG1	FOXO3
